,school_name,school_addr,latitude,longitude,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
1399,대구금계초등학교,대구광역시 달성군 옥포읍 금계길 55,35.7888893,128.443749, 16 , 20 , 35 , 18 , 21 , 20 
1400,대구옥포초등학교,대구광역시 달성군 옥포읍 비슬로 2220,35.788282,128.4644117, 56 , 61 , 49 , 38 , 40 , 50 
1401,대구가창초등학교,대구광역시 달성군 가창면 가창로 640,35.77106389999999,128.6482483, 26 , 36 , 24 , 18 , 29 , 28 
1402,대구용계초등학교,대구광역시 달성군 가창면 가창로221길 1,35.8045644,128.6217931, 83 , 64 , 89 , 61 , 59 , 74 
1403,대구현풍초등학교,대구광역시 달성군 현풍면 비슬로134길 167-6,35.6978796,128.4482704, 29 , 30 , 37 , 27 , 51 , 58 
1404,대구구지초등학교,대구광역시 달성군 구지면 창리로11길 45-11,35.6602112113,128.4125565529, 53 , 50 , 63 , 44 , 40 , 34 
1405,인천신흥초등학교,인천광역시 중구 제물량로 134,37.470254,126.6285263, 87 , 81 , 71 , 73 , 60 , 84 
1406,인천신광초등학교,인천광역시 중구 인중로 63,37.4643339779,126.6345104383, 129 , 131 , 130 , 104 , 117 , 128 
1407,인천신선초등학교,인천광역시 중구 축항대로291번길 33,37.4515517,126.6276157, 95 , 90 , 74 , 80 , 91 , 107 
1408,인천송월초등학교,인천광역시 중구 자유공원로 106-8,37.478483,126.6246821, 44 , 40 , 43 , 47 , 37 , 81 
1409,인천운서초등학교,인천광역시 중구 운서2로 57,37.4837988,126.512218, 43 , 38 , 35 , 31 , 30 , 43 
1410,인천용유초등학교,인천광역시 중구 남북로 87,37.4476138,126.4117314, 10 , 8 , 4 , 6 , 7 , 2 
1411,인천연안초등학교,인천광역시 중구 연안부두로33번길 53,37.4537576,126.6076848, 29 , 35 , 23 , 30 , 25 , 42 
1412,인천운남초등학교,인천광역시 중구 운남서로 38,37.4902935,126.5302582, 85 , 85 , 67 , 80 , 73 , 88 
1413,인천공항초등학교,인천광역시 중구 신도시남로 43,37.4918637029,126.486001911, 70 , 96 , 102 , 111 , 120 , 126 
1414,인천삼목초등학교,인천광역시 중구 신도시북로 42,37.4986635,126.4863507, 95 , 139 , 115 , 146 , 151 , 185 
1415,인천영종초등학교,인천광역시 중구 하늘달빛로 133,37.488700711599996,126.553721779, 260 , 256 , 249 , 208 , 188 , 231 
1416,인성초등학교,인천광역시 중구 신포로39번길 42,37.4739461586,126.6242484624, 73 , 78 , 73 , 61 , 74 , 58 
1417,인천용유초등학교무의분교장,인천광역시 중구 대무의로 302-8,37.3901947,126.4260259, 1 , 2 , 1 , 1 , 3 , 1 
1418,인천영종초등학교금산분교장,인천광역시 중구 백운로414번길 63-50,37.5133248,126.5214455, 21 , 11 , 7 , 8 , 6 , 5 
1419,인천만석초등학교,인천광역시 동구 제물량로 412,37.4842211,126.6280155, 99 , 84 , 92 , 76 , 103 , 92 
1420,인천송현초등학교,인천광역시 동구 송화로 45,37.48196179999999,126.633658, 123 , 147 , 119 , 126 , 111 , 129 
1421,인천창영초등학교,인천광역시 동구 우각로15번길 16,37.471585,126.63969371969999, 34 , 27 , 37 , 27 , 43 , 39 
1422,인천송림초등학교,인천광역시 동구 배송로 2,37.4741323,126.6377472, 64 , 42 , 60 , 56 , 66 , 83 
