,school_name,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
4829,황전초등학교회덕분교장, 3 , - , 1 , 1 , 2 , - 
4830,승주초등학교죽학분교장, - , 2 , 1 , 2 , 1 , 4 
4831,송산초등학교, 19 , 19 , 14 , 16 , 20 , 12 
4832,신대초등학교, 231 , 176 , 167 , 124 , 129 , 100 
4833,좌야초등학교, 179 , 140 , 160 , 153 , 145 , 160 
4834,나주초등학교, 86 , 89 , 90 , 85 , 106 , 116 
4835,나주중앙초등학교, 100 , 103 , 92 , 95 , 80 , 77 
4836,나주북초등학교, 17 , 12 , 13 , 11 , 10 , 10 
4837,영산포초등학교, 33 , 38 , 27 , 44 , 40 , 54 
4838,영강초등학교, 25 , 17 , 25 , 21 , 22 , 23 
4839,세지초등학교, 8 , 11 , 8 , 13 , 10 , 13 
4840,양산초등학교, 8 , 5 , 6 , 3 , 9 , 2 
4841,왕곡초등학교, 2 , 5 , 8 , 6 , 8 , 4 
4842,반남초등학교, 4 , 4 , 4 , 3 , 2 , 4 
4843,공산초등학교, 8 , 7 , 10 , 12 , 12 , 19 
4844,동강초등학교, 7 , 6 , 4 , 6 , 6 , 6 
4845,다시초등학교, 14 , 9 , 10 , 14 , 12 , 18 
4846,문평초등학교, 4 , 6 , 2 , 3 , 9 , 1 
4847,노안초등학교, 12 , 6 , 7 , 7 , 9 , 9 
4848,노안남초등학교, 12 , 14 , 12 , 14 , 7 , 8 
4849,금천초등학교, 19 , 17 , 17 , 15 , 9 , 12 
4850,산포초등학교, 23 , 12 , 15 , 18 , 11 , 11 
4851,남평초등학교, 110 , 104 , 89 , 72 , 81 , 72 
4852,다도초등학교, 6 , 7 , 3 , 7 , 6 , 9 
4853,봉황초등학교, 10 , 8 , 11 , 10 , 15 , 12 
4854,한아름초등학교, 101 , 80 , 86 , 69 , 64 , 61 
4855,라온초등학교, 150 , 132 , 114 , 97 , 81 , 82 
4856,빛누리초등학교, 204 , 191 , 185 , 150 , 137 , 139 
4857,빛가람초등학교, 182 , 165 , 177 , 176 , 191 , 169 
4858,광양서초등학교, 31 , 49 , 37 , 27 , 45 , 59 
4859,광양동초등학교, 11 , 17 , 15 , 17 , 11 , 18 
4860,광양북초등학교, 19 , 23 , 12 , 16 , 35 , 27 
4861,광양마로초등학교, 138 , 118 , 104 , 109 , 113 , 96 
4862,광양덕례초등학교, 88 , 88 , 76 , 65 , 74 , 74 
4863,세풍초등학교, 7 , 9 , 15 , 14 , 15 , 26 
4864,봉강초등학교, 11 , 15 , 11 , 9 , 7 , 16 
4865,옥룡초등학교, 20 , 12 , 14 , 13 , 16 , 15 
4866,옥룡북초등학교, 11 , 10 , 15 , 6 , 16 , 7 
4867,옥곡초등학교, 6 , 11 , 8 , 9 , 7 , 7 
4868,진상초등학교, 7 , 11 , 2 , 11 , 5 , 8 
4869,진월초등학교, 4 , 9 , 7 , 5 , 8 , 9 
4870,다압초등학교, 5 , 4 , 8 , 6 , 12 , 5 
4871,골약초등학교, 17 , 15 , 16 , 10 , 13 , 9 
4872,성황초등학교, 23 , 13 , 20 , 14 , 14 , 19 
4873,광양중앙초등학교, 101 , 93 , 108 , 93 , 80 , 98 
4874,광양중마초등학교, 113 , 119 , 102 , 79 , 78 , 75 
